Max,11.2243
Target,5.6121
Set,Time,Reps,Angle,Velocity,X,Y
1,0.2534,0,0.0000,0.0000,0.0090,-0.1540
1,0.2876,0,0.0000,0.0000,0.0070,-0.1530
1,0.3134,0,0.0000,0.0000,0.0180,-0.1640
1,0.3411,0,0.0000,0.0000,0.0250,-0.1730
1,0.3568,0,0.0000,0.0000,0.0340,-0.1840
1,0.3680,0,0.0000,0.0000,0.0450,-0.1970
1,0.3862,0,0.0000,0.0000,0.0500,-0.2020
1,0.3941,0,0.0000,0.0000,0.0520,-0.2040
1,0.4025,0,0.0000,0.0000,0.0520,-0.2060
1,0.4238,0,0.0000,0.0000,0.0550,-0.2080
1,0.4387,0,0.0000,0.0000,0.0580,-0.2120
1,0.4406,0,0.0000,0.0000,0.0600,-0.2140
1,0.4680,0,0.0000,0.0000,0.0620,-0.2160
1,0.4829,0,0.0000,0.0000,0.0610,-0.2160
1,0.5184,0,0.0000,0.0000,0.0570,-0.2120
1,0.5192,0,0.0000,0.0000,0.0500,-0.2050
1,0.5297,0,0.0000,0.0000,0.0470,-0.2030
1,0.5535,0,0.0000,0.0000,0.0460,-0.2020
1,0.5555,0,0.0000,0.0000,0.0460,-0.2030
1,0.5754,0,0.0000,0.0000,0.0460,-0.2040
1,0.5774,0,0.0000,0.0000,0.0470,-0.2060
1,0.5871,0,0.0000,0.0000,0.0500,-0.2080
1,0.6283,0,0.0000,0.0000,0.0450,-0.2050
1,0.6438,0,0.0000,0.0000,0.0300,-0.1920
1,0.6666,0,0.0000,0.0000,0.0080,-0.1710
1,0.6914,0,0.0000,0.0000,-0.0090,-0.1540
1,0.7124,0,0.0000,0.0000,-0.0230,-0.1390
1,0.7364,0,0.0000,0.0000,-0.0450,-0.1150
1,0.7586,0,0.0000,0.0000,-0.0990,-0.0580
1,0.7926,0,0.0000,0.0000,-0.1860,0.0370
1,0.8202,0,0.0000,0.0000,-0.2410,0.0990
1,0.8430,0,0.0000,0.0000,-0.2710,0.1320
1,0.8644,0,0.0000,0.0000,-0.3050,0.1670
1,0.8935,0,0.0000,0.0000,-0.3340,0.1970
1,0.9076,0,0.0000,0.0000,-0.3570,0.2200
1,0.9440,0,0.0064,0.0250,-0.3800,0.2420
1,0.9535,0,0.0317,0.4064,-0.3780,0.2380
1,0.9787,0,0.0570,0.5497,-0.3710,0.2280
1,1.0072,0,0.2415,1.4735,-0.3050,0.1600
1,1.0235,0,0.4260,3.0988,-0.2440,0.0980
1,1.0522,0,0.9096,5.4998,-0.2120,0.0650
1,1.0686,0,1.4675,10.3805,-0.1790,0.0330
1,1.0940,0,2.2075,14.5173,-0.0410,-0.1050
1,1.1213,0,3.1676,19.1627,0.0980,-0.2440
1,1.1381,0,4.1828,27.6331,0.2150,-0.3610
1,1.1664,0,5.3618,32.6664,0.2880,-0.4350
1,1.1837,0,6.5784,41.0514,0.3390,-0.4860
1,1.2532,0,7.5535,40.6544,0.3610,-0.5110
1,1.3217,0,8.3549,37.4456,0.2940,-0.4420
1,1.3489,0,8.9300,36.3099,0.1930,-0.3320
1,1.3651,0,9.2447,34.0448,0.1740,-0.3120
1,1.3785,0,9.4442,27.5694,0.1560,-0.2950
1,1.4021,0,9.2687,20.5490,0.1170,-0.2560
1,1.4288,0,9.0292,9.2571,0.1030,-0.2420
1,1.4484,0,8.7277,5.0581,0.0990,-0.2360
1,1.4738,0,8.5211,2.2264,0.0830,-0.2200
1,1.4823,0,8.3568,-3.5606,0.0460,-0.1830
1,1.4937,0,8.2138,-8.1173,0.0290,-0.1670
1,1.5096,0,8.1352,-10.9600,0.0190,-0.1570
1,1.5179,0,8.1089,-10.3544,0.0160,-0.1550
1,1.5625,1,8.1133,-9.0587,0.0240,-0.1640
1,1.6246,1,8.1089,-6.8739,0.0180,-0.1610
1,1.6473,1,8.1265,-5.6028,-0.0320,-0.1130
1,1.6746,1,8.1441,-2.7497,-0.0500,-0.0870
1,1.7474,1,8.1617,-0.9200,-0.0570,-0.0770
1,1.7668,1,8.1750,-0.1183,-0.0490,-0.0830
1,1.7903,1,8.1882,0.4200,-0.0180,-0.1140
1,1.8013,1,8.2014,0.5768,0.0380,-0.1710
1,1.8181,1,8.2322,0.8487,0.0770,-0.2100
1,1.8336,1,8.2454,0.8585,0.1220,-0.2540
1,1.8630,1,8.2585,0.8304,0.2080,-0.3350
1,1.9126,1,8.2717,0.8337,0.4050,-0.5330
1,1.9417,1,8.2805,0.7792,0.4750,-0.6010
1,1.9627,1,8.2936,0.7888,0.4860,-0.6110
1,1.9917,1,8.3068,0.6824,0.4950,-0.6180
1,2.0082,1,8.3155,0.4964,0.5110,-0.6340
1,2.0308,1,8.3243,0.4308,0.5250,-0.6480
1,2.0709,1,8.3243,0.3667,0.5330,-0.6570
1,2.0884,1,8.3243,0.3288,0.5320,-0.6560
1,2.1113,1,8.3287,0.3131,0.5270,-0.6520
1,2.1362,1,8.3330,0.2482,0.5200,-0.6460
1,2.1574,1,8.3330,0.1836,0.5130,-0.6410
1,2.1806,1,8.3330,0.1078,0.5030,-0.6320
1,2.2158,1,8.3330,0.0524,0.4340,-0.5650
1,2.2376,1,8.3374,0.0810,0.3080,-0.4420
1,2.2608,1,8.3418,0.1080,0.1630,-0.3030
1,2.2837,1,8.3462,0.1080,-0.0020,-0.1390
1,2.3100,1,8.3462,0.0829,-0.1550,0.0150
1,2.3391,1,8.3462,0.0829,-0.3160,0.1750
1,2.3523,1,8.3462,0.0829,-0.4570,0.3010
1,2.3767,1,8.3418,0.0574,-0.6870,0.5380
1,2.3986,1,8.3330,-0.0286,-0.7350,0.5870
1,2.4304,1,8.3287,-0.0752,-0.7700,0.6240
1,2.4596,1,8.3243,-0.1239,-0.8150,0.6700
1,2.4942,1,8.3199,-0.1420,-0.8440,0.7070
1,2.5590,1,8.3155,-0.1516,-0.8410,0.7090
1,2.6282,1,8.3112,-0.1607,-0.7010,0.5720
1,2.6524,1,8.3155,-0.1093,-0.6040,0.4600
1,2.7084,1,8.3243,-0.0296,-0.7690,0.5920
1,2.7669,1,8.3287,0.0007,-1.6640,1.3530
1,2.8231,1,8.3330,0.0332,-1.7800,1.4150
1,2.8470,1,8.3418,0.1036,-2.1890,1.6320
1,2.8692,1,8.3505,0.1697,-2.2770,1.6790
1,2.8977,1,8.3593,0.2226,-2.3480,1.7170
