Time,Reps,Angle,Velocity,X,Y
2.1193,0,0.0000,0.0000,0.0000,0.0000
2.1304,0,0.0000,0.0000,0.0000,0.0000
2.1634,0,0.0000,0.0000,0.0000,0.0000
2.1747,0,0.0000,0.0000,-6.0800,-3.4000
2.2032,0,0.0000,0.0000,0.6830,-0.6400
2.2221,0,0.0000,0.0000,1.8890,2.0930
2.2544,0,0.0000,0.0000,0.0000,0.0000
2.2572,0,0.0000,0.0000,-3.3330,-13.3330
2.2926,0,0.0000,0.0000,0.0000,0.0000
2.3376,0,0.0000,0.0000,0.0320,-1.4210
2.3585,0,0.0000,0.0000,0.0000,0.0000
2.3943,0,0.0000,0.0000,-1.3590,-2.0470
2.4361,0,0.0000,0.0000,0.1470,-0.4170
2.4410,0,0.0000,0.0000,-1.0830,0.5030
2.4832,0,0.0000,0.0000,-0.0860,-0.2730
2.5201,0,0.0000,0.0000,-0.6370,0.8630
2.5543,0,0.0000,0.0000,0.0000,0.0000
2.6268,0,0.0000,0.0000,0.1070,0.0030
2.6450,0,0.0000,0.0000,-0.2310,-0.3900
2.6685,0,0.0000,0.0000,-0.5580,0.1120
2.7060,0,0.0000,0.0000,-0.7720,-2.6320
2.7596,0,0.0000,0.0000,-0.7530,-0.2790
2.7993,0,0.0000,0.0000,2.2170,1.9500
2.8052,0,0.0000,0.0000,-3.8240,5.8240
2.8168,0,0.0000,0.0000,-6.7650,-4.4120
2.8378,0,0.0000,0.0000,-0.0870,-1.1920
2.8431,0,0.0000,0.0000,-0.1110,-1.2760
2.8540,0,0.0000,0.0000,-1.0520,-0.9610
2.8706,0,0.0000,0.0000,-2.1940,1.0000
2.8900,0,0.0000,0.0000,-0.4720,0.0700
2.9337,0,0.0000,0.0000,-0.6960,-0.0710
2.9677,0,0.0000,0.0000,0.3480,-0.1870
3.0020,0,0.0000,0.0000,-0.9650,-2.0470
3.0135,0,0.0000,0.0000,-2.9530,1.8840
3.0471,0,0.0000,0.0000,0.0760,-1.8480
3.0579,0,0.0000,0.0000,0.0000,0.0000
3.0945,0,0.0000,0.0000,0.3320,-0.3660
3.1399,0,0.0000,0.0000,0.0000,0.0000
3.1766,0,0.0000,0.0000,-2.1260,-1.5390
3.1861,0,0.0000,0.0000,0.6590,-1.9010
3.2206,0,0.0000,0.0000,0.2940,-0.2410
3.2674,0,0.0000,0.0000,-0.6640,-0.5420
3.2741,0,0.0000,0.0000,-0.8880,0.1840
3.2894,0,0.0000,0.0000,-0.8330,-0.7110
3.3177,0,0.0000,0.0000,-0.1580,-0.6310
3.3358,0,0.0000,0.0000,-0.3540,-0.6620
3.3645,0,0.0000,0.0000,0.0980,-0.0670
3.4005,0,0.0000,0.0000,-0.2150,-0.1390
3.4163,0,0.0000,0.0000,-0.1120,-0.3540
3.4485,0,0.0000,0.0000,-0.4330,-0.8340
3.4811,0,0.0000,0.0000,-1.6090,-2.2190
3.4857,0,0.0000,0.0000,-1.0650,-1.4650
3.4963,0,0.0000,0.0000,-1.0100,-1.6770
3.5297,0,0.0000,0.0000,0.0000,0.0000
3.5413,0,0.0000,0.0000,0.1000,-0.4550
3.5679,0,0.0000,0.0000,-0.6650,-1.6050
3.5763,0,0.0000,0.0000,-0.1310,-0.7980
3.5983,0,0.0000,0.0000,-0.2750,-0.2450
3.6076,0,0.0000,0.0000,-0.8660,-0.2730
3.6111,0,0.0000,0.0000,-0.1190,0.0240
3.6218,0,0.0000,0.0000,0.1410,-0.3840
3.6474,0,0.0000,0.0000,-1.7740,-0.7390
3.6495,0,0.0000,0.0000,-0.9490,-1.2530
3.6567,0,0.0000,0.0000,2.0790,0.9210
3.6679,0,0.0000,0.0000,0.6400,-0.1400
3.6977,0,0.0000,0.0000,-0.1170,-0.8720
3.7117,0,0.0000,0.0000,0.0470,-0.9590
3.7374,0,0.0000,0.0000,-0.4610,-1.6380
3.7423,0,0.0000,0.0000,-0.6680,-1.5310
3.7646,0,0.0000,0.0000,-0.2440,-0.5450
3.7923,0,0.0000,0.0000,0.2030,-0.5150
3.8069,0,0.0000,0.0000,-0.1860,-0.7380
3.8297,0,0.0000,0.0000,-0.6310,-1.8070
3.8732,0,0.0000,0.0000,1.0000,-1.4960
3.8866,0,0.0000,0.0000,0.1610,-0.7080
3.9094,0,0.0000,0.0000,-0.8800,-0.6930
3.9308,0,0.0000,0.0000,0.0840,-0.3030
3.9575,0,0.0000,0.0000,-0.3560,-1.6970
3.9933,0,0.0000,0.0000,0.0160,-0.8500
3.9996,0,0.0000,0.0000,0.0000,0.0000
4.0438,0,0.0000,0.0000,-0.3890,-0.5670
4.0506,0,0.0000,0.0000,-1.7540,0.7380
4.0923,0,0.0000,0.0000,-0.6000,-1.5790
4.1187,0,0.0000,0.0000,-0.2100,-0.5750
4.1228,0,0.0000,0.0000,0.1320,-1.2960
4.1634,0,0.0000,0.0000,-0.1100,-0.0660
4.1684,0,0.0000,0.0000,0.3410,-1.0110
4.1855,0,0.0000,0.0000,-0.4010,0.1690
4.2088,0,0.0000,0.0000,0.6820,-0.5920
4.2539,0,0.0000,0.0000,-0.1270,-0.3910
4.2586,0,0.0000,0.0000,-0.1310,0.2260
4.2915,0,0.0000,0.0000,-0.1110,-0.2570
4.2996,0,0.0000,0.0000,0.1600,-0.6610
4.3452,0,0.0000,0.0000,-1.5220,-0.8150
4.3492,0,0.0000,0.0000,0.9840,-0.7210
4.3867,0,0.0000,0.0000,-0.4780,-0.7850
4.3912,0,0.0000,0.0000,-0.0660,-0.4270
4.4363,0,0.0000,0.0000,-0.7760,-0.4860
4.4403,0,0.0000,0.0000,-1.5660,-0.3780
4.4784,0,0.0000,0.0000,-0.4220,-0.5780
4.4833,0,0.0000,0.0000,0.1700,-1.1350
4.5275,0,0.0000,0.0000,-0.5830,-1.7320
4.5402,0,0.0000,0.0000,-0.4760,-0.4120
4.5894,0,0.0000,0.0000,-0.3330,-0.1640
4.6199,0,0.0000,0.0000,0.2450,-0.9050
4.6314,0,0.0000,0.0000,0.1210,-1.0600
4.6604,0,0.0000,0.0000,-0.2170,-0.5350
4.6848,0,0.0000,0.0000,0.1080,-0.7830
