Time,Reps,Angle,Velocity,X,Y
2.1148,0,0.0000,0.0000,0.0000,0.0000
2.1441,0,0.0000,0.0000,0.0000,0.0000
2.1476,0,0.0000,0.0000,0.0000,0.0000
2.1714,0,0.0000,0.0000,0.0000,0.0000
2.1949,0,0.0000,0.0000,0.0000,0.0000
2.2245,0,0.0000,0.0000,0.0000,0.0000
2.2465,0,0.0000,0.0000,0.0000,0.0000
2.2655,0,0.0000,0.0000,0.0000,0.0000
2.2675,0,0.0000,0.0000,0.0000,0.0000
2.2752,0,0.0000,0.0000,0.0000,0.0000
2.3083,0,0.0000,0.0000,0.0000,0.0000
2.3499,0,0.0000,0.0000,0.0000,0.0000
2.3862,0,0.0000,0.0000,0.0000,0.0000
2.4031,0,0.0000,0.0000,0.0000,0.0000
2.4406,0,0.0000,0.0000,0.0000,0.0000
2.4472,0,0.0000,0.0000,0.0000,0.0000
2.4836,0,0.0000,0.0000,0.0000,0.0000
2.5181,0,0.0000,0.0000,0.0000,0.0000
2.5552,0,0.0000,0.0000,0.0000,0.0000
2.5733,0,0.0000,0.0000,0.0000,0.0000
2.5978,0,0.0000,0.0000,0.0000,0.0000
2.6422,0,0.0000,0.0000,0.0000,0.0000
2.6668,0,0.0000,0.0000,0.0000,0.0000
2.7056,0,0.0000,0.0000,0.0000,0.0000
2.7211,0,0.0000,0.0000,0.0000,0.0000
2.7404,0,0.0000,0.0000,0.0000,0.0000
2.7466,0,0.0000,0.0000,0.0000,0.0000
2.7570,0,0.0000,0.0000,0.0000,0.0000
2.7792,0,0.0000,0.0000,0.0000,0.0000
2.8171,0,0.0000,0.0000,0.0000,0.0000
2.8261,0,0.0000,0.0000,0.0000,0.0000
2.8518,0,0.0000,0.0000,0.0000,0.0000
2.8587,0,0.0000,0.0000,0.0000,0.0000
2.8706,0,0.0000,0.0000,0.0000,0.0000
2.8864,0,0.0000,0.0000,0.0000,0.0000
2.8953,0,0.0000,0.0000,0.0000,0.0000
2.9070,0,0.0000,0.0000,0.0000,0.0000
2.9288,0,0.0000,0.0000,0.0000,0.0000
2.9392,0,0.0000,0.0000,0.0000,0.0000
2.9679,0,0.0000,0.0000,0.0000,0.0000
2.9982,0,0.0000,0.0000,0.0000,0.0000
3.0405,0,0.0000,0.0000,0.0000,0.0000
3.0459,0,0.0000,0.0000,0.0000,0.0000
3.0485,0,0.0000,0.0000,0.0000,0.0000
3.0557,0,0.0000,0.0000,0.0000,0.0000
3.0752,0,0.0000,0.0000,0.0000,0.0000
3.0887,0,0.0000,0.0000,0.0000,0.0000
3.1129,0,0.0000,0.0000,0.0000,0.0000
3.1660,0,0.0000,0.0000,0.0000,0.0000
3.1802,0,0.0000,0.0000,0.0000,0.0000
3.2050,0,0.0000,0.0000,0.0000,0.0000
3.2324,0,0.0000,0.0000,0.0000,0.0000
3.2816,0,0.0000,0.0000,0.0000,0.0000
