Time,Angle,X,Y
2.6640,0.0000,0.0000,0.0000
2.6875,0.0000,0.0000,0.0000
2.7207,0.0000,0.0000,0.0000
2.7619,0.0000,0.0000,0.0000
2.7685,0.0000,0.0000,0.0000
2.8045,0.0000,0.0000,0.0000
2.8419,0.0000,0.0000,0.0000
2.8577,0.0000,0.0000,0.0000
2.8872,0.0000,0.0000,0.0000
2.9029,0.0000,0.0000,0.0000
2.9243,0.0000,0.0000,0.0000
2.9602,0.0000,0.0000,0.0000
2.9928,0.0000,0.0000,0.0000
3.0159,0.0000,0.0000,0.0000
3.0484,0.0000,0.0000,0.0000
3.0626,0.0000,0.0000,0.0000
3.0877,0.0000,0.0000,0.0000
3.1482,0.0000,0.0000,0.0000
3.1651,0.0000,0.0000,0.0000
3.1904,0.0000,0.0000,0.0000
3.2582,0.0000,0.0000,0.0000
3.2824,0.0000,0.0000,0.0000
3.2930,0.0000,0.0000,0.0000
3.3136,0.0000,0.0000,0.0000
3.3187,0.0000,0.0000,0.0000
3.3262,0.0000,0.0000,0.0000
3.3473,0.0000,0.0000,0.0000
3.3807,0.0000,0.0000,0.0000
3.4193,0.0000,0.0000,0.0000
3.4312,0.0000,0.0000,0.0000
3.4557,0.0000,0.0000,0.0000
3.4836,0.0000,0.0000,0.0000
3.4974,0.0000,0.0000,0.0000
3.5262,0.0000,0.0000,0.0000
3.5614,0.0000,0.0000,0.0000
3.5913,0.0000,0.0000,0.0000
3.6059,0.0000,0.0000,0.0000
3.6346,0.0000,0.0000,0.0000
3.6501,0.0000,0.0000,0.0000
3.6826,0.0000,0.0000,0.0000
3.7127,0.0000,0.0000,0.0000
3.7301,0.0000,0.0000,0.0000
3.7524,0.0000,0.0000,0.0000
3.7778,0.0000,0.0000,0.0000
3.8038,0.0000,0.0000,0.0000
3.8221,0.0000,0.0000,0.0000
3.8474,0.0000,0.0000,0.0000
3.8783,0.0000,0.0000,0.0000
3.8909,0.0000,0.0000,0.0000
3.9146,0.0000,0.0000,0.0000
3.9436,0.0000,0.0000,0.0000
3.9580,0.0000,0.0000,0.0000
3.9826,0.0000,0.0000,0.0000
4.0498,0.0000,0.0000,0.0000
4.1184,0.0000,0.0000,0.0000
4.1468,0.0000,0.0000,0.0000
4.1776,0.0000,0.0000,0.0000
4.1877,0.0000,0.0000,0.0000
4.2150,0.0000,0.0000,0.0000
4.2490,0.0000,0.0000,0.0000
4.2565,0.0000,0.0000,0.0000
4.2930,0.0000,0.0000,0.0000
4.3603,0.0000,0.0000,0.0000
4.4302,0.0000,0.0000,0.0000
4.4627,0.0000,0.0000,0.0000
4.4772,0.0000,0.0000,0.0000
4.4992,0.0000,0.0000,0.0000
4.5227,0.0000,0.0000,0.0000
4.5574,0.0000,0.0000,0.0000
4.5886,0.0000,0.0000,0.0000
4.6242,0.0000,0.0000,0.0000
4.6568,0.0000,0.0000,0.0000
4.6937,0.0000,0.0000,0.0000
4.7050,0.0000,0.0000,0.0000
4.7336,0.0000,0.0000,0.0000
4.7651,0.0000,0.0000,0.0000
4.7928,0.0000,0.0000,0.0000
4.8220,0.0000,0.0000,0.0000
4.8435,0.0000,0.0000,0.0000
