Time,Angle,X,Y
3.8868,0.0000,-3.7140,4.6070
3.9928,0.0000,0.0000,0.0000
3.9954,0.0000,0.5120,0.5580
3.9994,0.0000,0.0000,0.0000
4.0019,0.0000,-0.2760,-0.1680
4.0083,0.0000,-2.1670,-2.0190
4.1336,0.0000,0.0000,0.0000
4.1371,0.0000,-0.2730,-0.3880
4.1415,0.0000,-0.1260,0.5330
4.1437,0.0000,-0.0370,-0.5960
4.1457,0.0000,-0.0490,-0.8660
4.1493,0.0000,0.0000,0.0000
4.2733,0.0000,0.0000,0.0000
4.2754,0.0000,0.0000,0.0000
4.2773,0.0000,0.0000,0.0000
4.2790,0.0000,0.0000,0.0000
4.2830,0.0000,0.0000,0.0000
4.3958,0.0000,0.0000,0.0000
4.4014,0.0000,0.4120,1.0980
4.4104,0.0000,0.4120,1.0000
4.4295,0.0000,0.0000,0.0000
4.4658,0.0000,0.0000,0.0000
4.5285,0.0000,-0.8610,1.1390
4.5330,0.0000,-2.6360,8.6360
4.5350,0.0000,0.0000,0.0000
4.5374,0.0000,0.6680,0.4440
4.5469,0.0000,0.6070,-0.2460
4.6585,0.0000,0.0000,0.0000
4.6631,0.0000,0.0000,0.0000
4.6654,0.0000,0.0000,0.0000
4.6683,0.0000,0.0000,0.0000
4.6721,0.0000,0.0000,0.0000
4.6744,0.0000,-0.3540,0.9560
4.6762,0.0000,-2.5670,1.7000
4.6771,0.0000,-1.9610,0.4900
4.8122,0.0000,3.8240,6.6470
4.8150,0.0000,-1.4520,1.2610
4.8183,0.0000,0.0000,0.0000
4.8222,0.0000,1.7320,-0.1710
4.8246,0.0000,0.7960,-0.2590
4.8264,0.0000,-8.0590,-7.4710
4.8282,0.0000,-2.3040,2.9420
4.8299,0.0000,0.0000,0.0000
4.8384,0.0000,-4.0600,-1.2800
4.8773,0.0000,0.0000,0.0000
4.9434,0.0000,0.0000,0.0000
4.9464,0.0000,0.0000,0.0000
4.9500,0.0000,-1.7440,1.6380
4.9542,0.0000,-0.4860,2.4320
4.9561,0.0000,-2.5030,0.5170
5.0039,0.0000,0.0000,0.0000
5.0309,0.0000,0.4780,-3.6090
5.0768,0.0000,0.0000,0.0000
5.0787,0.0000,-1.4290,-0.4430
5.1121,0.0000,-0.0390,0.0130
5.2530,0.0000,-2.3040,3.3770
5.2565,0.0000,-0.0590,0.8750
5.2612,0.0000,-0.7590,0.9150
5.2647,0.0000,1.2220,0.9230
5.2666,0.0000,-0.3220,0.0810
5.2683,0.0000,-0.8850,-0.7990
5.2725,0.0000,0.0000,0.0000
5.4095,0.0000,-5.6450,2.3870
5.4139,0.0000,-1.9170,0.8180
5.4168,0.0000,1.0780,2.8280
5.4220,0.0000,-0.6100,2.0850
5.5461,0.0000,-1.8050,3.0490
5.5490,0.0000,0.0000,0.0000
5.5538,0.0000,0.0000,0.0000
5.5563,0.0000,-3.4520,-0.1610
5.6823,0.0000,-0.9880,-0.9940
5.6863,0.0000,-1.0000,-1.0030
5.6889,0.0000,-0.9960,-0.9980
5.6926,0.0000,-0.9970,-1.0040
5.8181,0.0000,0.0000,0.0000
5.8237,0.0000,-0.8780,0.0000
5.8268,0.0000,-0.4920,0.1830
5.8316,0.0000,0.0000,0.0000
5.9582,0.0000,0.0000,0.0000
5.9620,0.0000,0.0000,0.0000
5.9661,0.0000,0.0000,0.0000
5.9679,0.0000,0.0000,0.0000
5.9697,0.0000,-1.2790,-0.8290
5.9732,0.0000,0.0000,0.0000
5.9765,0.0000,-0.3880,-0.2860
5.9783,0.0000,0.1730,0.1460
6.0398,0.0000,-0.2980,-0.2680
6.1126,0.0000,0.0000,0.0000
6.1169,0.0000,0.0000,0.0000
6.1194,0.0000,0.0000,0.0000
6.1229,0.0000,0.0000,0.0000
6.1267,0.0000,-1.0700,0.0930
6.1291,0.0000,0.0000,0.0000
6.1309,0.0000,-1.5790,0.4860
6.1934,0.0000,0.0000,0.0000
6.2660,0.0000,0.4850,0.4110
6.2687,0.0000,-0.6960,-0.1180
6.2707,0.0000,0.0000,0.0000
6.2743,0.0000,0.9640,-0.4260
6.4048,0.0000,0.0000,0.0000
6.4092,0.0000,-1.9320,2.7890
6.4136,0.0000,0.0000,0.5160
6.4174,0.0000,-0.0030,0.1880
6.4192,0.0000,-4.4890,1.2770
6.5522,0.0000,0.0000,0.0000
6.5583,0.0000,-1.2170,-0.7950
6.5614,0.0000,0.6190,-0.9050
6.5658,0.0000,-0.9770,1.6670
6.5691,0.0000,-1.0220,0.6700
6.5721,0.0000,0.0000,0.0000
6.7294,0.0000,0.1270,0.9830
6.7325,0.0000,0.5070,3.2900
6.7363,0.0000,0.0000,0.0000
6.7391,0.0000,-0.1260,0.1670
6.7414,0.0000,0.0000,0.0000
6.7449,0.0000,-15.2400,-4.6800
6.7484,0.0000,0.2560,0.0280
6.7502,0.0000,-0.4260,0.6500
6.8843,0.0000,0.0000,0.0000
6.8895,0.0000,0.0000,0.0000
6.9015,0.0000,-0.4050,0.4890
6.9265,0.0000,1.3210,-0.2760
6.9489,0.0000,-3.8000,12.2000
6.9596,0.0000,-0.4360,0.7790
7.0121,0.0000,-0.5110,0.1220
7.0167,0.0000,-1.4180,-0.1530
7.0195,0.0000,0.0000,0.0000
7.0293,0.0000,-0.9870,-0.3570
7.1037,0.0000,-0.8420,1.9210
7.1085,0.0000,2.1180,-1.9440
7.1109,0.0000,-0.6900,-0.7130
