Time,Reps,Angle,X,Y
2.0878,1,0.0465,0.0000,0.0000
2.1130,1,0.0465,0.0000,0.0000
2.1292,1,0.0465,0.0000,0.0000
2.1679,1,0.0465,0.0000,0.0000
2.1726,1,0.0465,0.0000,0.0000
2.2009,1,0.0465,0.0000,0.0000
2.2195,1,0.0465,0.0000,0.0000
2.2696,1,0.0465,-3.9430,-16.1320
2.2980,1,0.0465,-2.2450,-9.9840
2.3177,1,0.0465,-2.2460,-9.4820
2.3357,1,0.0465,-2.1000,-8.8590
2.3580,1,0.0465,-1.7220,-7.7170
2.3919,1,0.0465,-1.3150,-6.4010
2.4018,1,0.0465,-0.9650,-5.5250
2.4556,1,0.0465,-0.6040,-4.2830
2.4959,1,0.0465,-0.5270,-3.8260
2.5298,1,0.0465,-0.5470,-3.6090
2.5410,1,0.0465,-0.5700,-3.5710
2.5631,1,0.0465,-0.7060,-3.8950
2.5741,1,0.0465,-0.7380,-3.8950
2.6128,1,0.0465,-0.7490,-3.9900
2.6208,1,0.0465,-0.9050,-4.5600
2.6468,1,0.0465,-1.2630,-5.7620
2.6734,1,0.0465,-1.6830,-7.2220
2.6910,1,0.0465,-2.3060,-9.5170
2.7184,1,0.0465,-2.7360,-11.6470
2.7220,1,0.0465,-2.8290,-12.3560
2.7240,1,0.0465,-2.7710,-12.4240
2.7527,1,0.0465,-2.9800,-13.6580
2.8985,1,0.0465,-2.4510,-16.4770
2.9191,1,0.0465,-1.8110,-12.8210
2.9334,1,0.0465,-1.6270,-11.7780
2.9559,1,0.0465,-1.5760,-11.5590
2.9977,1,0.0465,-1.5870,-12.2420
3.0034,1,0.0465,-1.3830,-11.3070
3.0094,1,0.0465,-1.2770,-10.9240
3.0127,1,0.0465,-1.2950,-11.0980
3.0369,1,0.0465,-1.3300,-11.0460
3.0416,1,0.0465,-1.2960,-10.4990
3.0590,1,0.0465,-1.1000,-9.2690
3.0928,1,0.0465,-0.9040,-8.4600
3.1250,1,0.0465,-0.7920,-7.9970
3.1728,1,0.0465,-0.7190,-6.3690
3.2329,1,0.0465,-0.0310,-3.4180
3.2536,1,0.0465,0.0030,-3.3770
3.2749,1,0.0465,0.0070,-3.2950
3.3110,1,0.0465,0.0360,-3.0390
3.3223,1,0.0465,0.1550,-2.6190
3.3440,1,0.0465,0.2750,-2.2380
3.3804,1,0.0465,0.4070,-1.7480
3.4059,1,0.0465,0.4390,-1.5610
3.4241,1,0.0465,0.4650,-1.3200
3.4472,1,0.0465,0.5280,-0.9290
3.4745,1,0.0465,0.6410,-0.4700
3.4950,1,0.0465,0.7670,-0.0120
3.5157,1,0.0465,0.8620,0.4110
3.5438,1,0.0465,0.9270,0.8580
3.5747,1,0.0465,0.9630,1.0530
3.6468,1,0.0465,0.9080,0.9940
3.7224,1,0.0465,0.8820,0.8590
3.7346,1,0.0465,0.8740,0.8210
3.7573,1,0.0465,0.8900,0.8770
3.7967,1,0.0465,0.9130,1.0000
3.8019,1,0.0465,0.9280,1.1880
3.8050,1,0.0465,0.9460,1.2970
3.8157,1,0.0465,0.9610,1.3990
3.8413,1,0.0465,0.9750,1.5820
3.8858,1,0.0465,0.9730,1.7150
3.8923,1,0.0465,0.9560,1.7960
3.9084,1,0.0465,0.9310,1.8130
3.9438,1,0.0465,0.9020,1.7860
3.9742,1,0.0465,0.8930,1.8380
3.9785,1,0.0465,0.8860,1.8450
3.9823,1,0.0465,0.8700,1.8340
4.0076,1,0.0465,0.8260,1.8120
4.0230,1,0.0465,0.7580,1.8080
4.0455,1,0.0465,0.6390,1.7830
4.0843,1,0.0465,0.4760,1.7670
4.0878,1,0.0465,0.3450,1.8740
4.0921,1,0.0465,0.2450,1.8710
4.1017,1,0.0465,0.1440,1.8830
4.1379,1,0.0465,-0.1420,2.0340
4.1733,1,0.0465,-0.4690,2.2580
4.2058,1,0.0465,-0.6510,2.4260
4.2293,1,0.0465,-0.7220,2.4620
4.2593,1,0.0465,-0.7290,2.4000
4.2756,1,0.0465,-0.7050,2.3200
4.3029,1,0.0465,-0.6710,2.1760
4.3362,1,0.0465,-0.6350,1.9870
4.3677,1,0.0465,-0.5980,1.7880
4.3773,1,0.0465,-0.5700,1.6030
4.4055,1,0.0465,-0.5590,1.4780
4.4374,1,0.0465,-0.5560,1.3420
4.4468,1,0.0465,-0.5710,1.1130
4.4817,1,0.0465,-0.6060,0.5400
4.5072,1,0.0465,-0.6130,0.0300
4.5289,1,0.0465,-0.6130,-0.2250
4.5504,1,0.0465,-0.6140,-0.4360
4.5782,1,0.0465,-0.6060,-0.6030
4.5972,1,0.0465,-0.6080,-0.7440
4.6191,1,0.0465,-0.6260,-0.8530
4.6583,1,0.0465,-0.6030,-0.9780
4.6664,1,0.0465,-0.5830,-1.0860
4.6982,1,0.0465,-0.6040,-1.2270
4.7036,1,0.0465,-0.5840,-1.2330
4.7600,1,0.0465,-0.7570,-1.4600
4.7918,1,0.0465,-0.9070,-1.6370
4.8026,1,0.0465,-1.1030,-1.7590
4.8373,1,0.0465,-1.2470,-1.7780
4.8485,1,0.0465,-1.3900,-1.8310
4.8720,1,0.0465,-1.8070,-2.0310
4.9458,1,0.0465,-1.9720,-2.2110
4.9717,1,0.0465,-2.9340,-3.2370
4.9792,1,0.0387,-3.3510,-3.6700
4.9876,1,0.0310,-3.9890,-4.3760
5.0102,1,0.0232,-4.7490,-5.2150
5.0152,1,0.0155,-6.1490,-6.7510
5.0206,1,0.0077,-9.0150,-9.9030
5.0584,1,0.0000,0.0000,0.0000
5.1274,1,0.0000,0.0000,0.0000
5.1536,1,0.0000,0.0000,0.0000
5.1703,1,0.0000,0.0000,0.0000
5.1939,1,0.0000,0.0000,0.0000
5.1990,1,0.0000,0.0000,0.0000
5.2047,1,0.0000,0.0000,0.0000
5.2377,1,0.0000,0.0000,0.0000
5.2404,1,0.0000,0.0000,0.0000
5.2502,1,0.0000,0.0000,0.0000
5.2732,1,0.0000,0.0000,0.0000
5.3202,1,0.0000,0.0000,0.0000
5.3469,1,0.0000,0.0000,0.0000
5.3815,1,0.0000,0.0000,0.0000
5.3894,1,0.0000,0.0000,0.0000
5.4250,1,0.0000,0.0000,0.0000
5.4625,1,0.0000,0.0000,0.0000
5.4820,1,0.0000,0.0000,0.0000
5.5078,1,0.0000,0.0000,0.0000
5.5448,1,0.0000,0.0000,0.0000
5.5511,1,0.0000,0.0000,0.0000
5.5922,1,0.0000,0.0000,0.0000
5.6100,1,0.0000,0.0000,0.0000
5.6305,1,0.0000,0.0000,0.0000
5.6618,1,0.0000,0.0000,0.0000
5.6773,1,0.0000,0.0000,0.0000
5.7011,1,0.0000,0.0000,0.0000
5.7383,1,0.0000,0.0000,0.0000
5.7596,1,0.0000,0.0000,0.0000
5.7805,1,0.0000,0.0000,0.0000
5.8021,1,0.0000,0.0000,0.0000
5.8250,1,0.0000,0.0000,0.0000
5.8531,1,0.0000,0.0000,0.0000
5.8712,1,0.0000,0.0000,0.0000
5.9093,1,0.0000,0.0000,0.0000
5.9120,1,0.0000,0.0000,0.0000
5.9173,1,0.0000,0.0000,0.0000
5.9432,1,0.0000,0.0000,0.0000
5.9464,1,0.0000,0.0000,0.0000
5.9742,1,0.0000,0.0000,0.0000
6.0013,1,0.0000,0.0000,0.0000
6.0212,1,0.0000,0.0000,0.0000
6.0428,1,0.0000,0.0000,0.0000
6.0666,1,0.0000,-7.8820,-7.8130
6.0907,1,0.0000,-3.7950,-3.7250
6.1143,1,0.0000,-2.5350,-2.4580
6.1346,1,0.0000,-1.9220,-1.8370
6.1658,1,0.0000,-1.5490,-1.4560
6.1832,1,0.0000,-1.3050,-1.2030
6.2433,1,0.0000,-1.0900,-0.9890
6.3103,1,0.0077,-0.9430,-0.8410
6.3276,1,0.0155,-0.8870,-0.7860
6.3719,1,0.0232,-0.8800,-0.7780
6.3780,1,0.0387,-0.8740,-0.7670
6.4122,1,0.0542,-0.8690,-0.7590
6.4233,1,0.0697,-0.8690,-0.7590
6.4343,1,0.0774,-0.8660,-0.7520
6.4653,1,0.0851,-0.8640,-0.7460
6.4719,1,0.0928,-0.8610,-0.7410
6.5038,1,0.0928,-0.8600,-0.7400
6.5340,1,0.0928,-0.8630,-0.7350
6.5727,1,0.1006,-0.8750,-0.7480
6.5834,1,0.1083,-0.8860,-0.7620
6.6190,1,0.1160,-0.8940,-0.7740
6.6298,1,0.1237,-0.9000,-0.7830
6.6825,1,0.1314,-0.9050,-0.7860
6.7166,1,0.1391,-0.9040,-0.7790
6.7828,1,0.1391,-0.9000,-0.7670
6.8350,1,0.1391,-0.9030,-0.7580
6.8695,1,0.1391,-0.9140,-0.7640
6.8824,1,0.1391,-0.9210,-0.7710
6.9047,1,0.1391,-0.9290,-0.7790
6.9411,1,0.1391,-0.9360,-0.7840
6.9643,1,0.1314,-0.9390,-0.7850
6.9814,1,0.1237,-0.9430,-0.7870
6.9847,1,0.1160,-0.9450,-0.7860
7.0197,1,0.1083,-0.9450,-0.7800
7.0464,1,0.1006,-0.9550,-0.7870
7.0648,1,0.0928,-0.9610,-0.7880
7.0876,1,0.0928,-0.9690,-0.7870
7.1144,1,0.0928,-0.9890,-0.7940
7.1344,1,0.0851,-1.0540,-0.8520
7.1643,1,0.0774,-1.1290,-0.9150
7.1822,1,0.0697,-1.2590,-1.0240
7.2047,1,0.0619,-1.5380,-1.2660
7.2301,1,0.0465,-2.4160,-2.0230
7.2802,1,0.0310,0.0000,0.0000
7.2960,1,0.0232,0.0000,0.0000
7.3277,1,0.0155,0.0000,0.0000
7.3427,1,0.0077,0.0000,0.0000
7.3702,1,0.0000,0.0000,0.0000
7.3874,1,0.0000,0.0000,0.0000
7.4223,1,0.0000,0.0000,0.0000
7.4468,1,0.0000,0.0000,0.0000
7.4761,1,0.0000,0.0000,0.0000
7.4943,1,0.0000,0.0000,0.0000
7.5170,1,0.0000,0.0000,0.0000
7.5517,1,0.0000,0.0000,0.0000
7.5560,1,0.0000,0.0000,0.0000
7.5586,1,0.0000,0.0000,0.0000
7.5717,1,0.0000,0.0000,0.0000
7.5889,1,0.0000,0.0000,0.0000
7.6059,1,0.0000,0.0000,0.0000
7.6358,1,0.0000,0.0000,0.0000
7.6745,1,0.0000,0.0000,0.0000
7.7001,1,0.0000,0.0000,0.0000
7.7196,1,0.0000,0.0000,0.0000
7.7440,1,0.0000,0.0000,0.0000
7.7768,1,0.0000,0.0000,0.0000
7.8106,1,0.0000,0.0000,0.0000
7.8476,1,0.0000,0.0000,0.0000
7.8575,1,0.0000,0.0000,0.0000
7.8823,1,0.0077,0.0000,0.0000
7.9048,1,0.0155,0.0000,0.0000
7.9748,1,0.0232,-5.3360,-5.3770
7.9980,1,0.0387,-3.2060,-3.2060
8.0073,1,0.0542,-2.9810,-2.9750
8.0413,1,0.0697,-2.2130,-2.2060
8.0753,1,0.0774,-1.6400,-0.8870
8.0874,1,0.0851,-1.8840,-1.8800
8.1131,1,0.0928,-1.7550,-1.7510
8.1209,1,0.0928,0.0000,0.0000
8.1550,1,0.0928,0.0000,0.0000
8.1593,1,0.1006,-16.2390,-4.1770
8.1685,1,0.1083,-10.5600,-2.8660
8.1884,1,0.1160,-8.0210,-2.2520
8.1976,1,0.1237,-6.5480,-1.8700
8.2014,1,0.1314,-5.5280,-1.5840
8.2376,1,0.1391,-4.1140,-1.1490
8.2491,1,0.1468,-3.2340,-0.8610
8.2797,1,0.1545,-2.7140,-0.6960
8.2843,1,0.1622,-2.4710,-0.6460
8.2881,1,0.1698,-2.2770,-0.6030
8.3289,1,0.1775,-2.0840,-0.5850
8.3395,1,0.1852,-1.8870,-0.4870
8.3631,1,0.1852,-1.7960,-0.4580
8.3984,1,0.1852,-1.7120,-0.4480
8.4352,1,0.1929,-1.6850,-0.4280
8.4433,1,0.2005,-1.6910,-0.3960
8.4697,1,0.2005,-1.7170,-0.3530
8.4909,1,0.2005,-1.7300,-0.3090
8.5120,1,0.2005,-1.7180,-0.2730
8.5475,1,0.2005,-1.7430,-0.2320
8.6122,1,0.1929,-1.6440,-0.1540
8.6612,1,0.1852,-1.9060,0.0690
8.6728,1,0.1852,-1.9430,0.0640
8.6970,1,0.1852,-1.9720,0.0460
8.7223,1,0.1852,-2.0030,0.0190
8.7422,1,0.1852,-2.0470,-0.0180
8.7664,1,0.1852,-2.1150,-0.0580
8.8043,1,0.1852,-2.2020,-0.0730
8.8216,1,0.1852,-2.2910,-0.0520
8.8798,1,0.1852,-2.4120,-0.0110
8.9145,1,0.1852,-2.5050,-0.0270
8.9461,1,0.1852,-2.5220,-0.0580
8.9604,1,0.1852,-2.4840,-0.0600
8.9839,1,0.1852,-2.3560,-0.0540
9.0237,1,0.1852,-2.2610,-0.0240
9.0415,1,0.1852,-2.2180,0.0610
9.0678,1,0.1852,-2.1950,0.1390
9.1142,1,0.1852,-2.1790,0.2100
9.1198,1,0.1852,-2.1430,0.2520
9.1217,1,0.1852,-2.1350,0.2560
9.1497,1,0.1852,-2.0550,0.2600
9.1660,1,0.1852,-2.0110,0.2490
9.1964,1,0.1852,-2.0070,0.2530
9.2009,1,0.1852,-2.0280,0.2590
9.2122,1,0.1852,-2.0510,0.2670
9.2270,1,0.1852,-2.0680,0.2730
9.2354,1,0.1852,-2.0680,0.2740
