Time,Reps,Angle,Velocity,X,Y
2.1752,0,0.3761,0.0000,0.5690,-0.5930
2.2242,0,0.3912,0.3093,0.4260,-0.3980
2.2444,0,0.4064,0.5303,0.3670,-0.3870
2.2822,0,0.4291,0.5539,0.3320,-0.3920
2.2871,0,0.4518,1.5592,0.3310,-0.3960
2.2898,0,0.4820,3.4625,0.3150,-0.4050
2.3025,0,0.5047,3.7581,0.3010,-0.4120
2.3379,0,0.5273,3.7356,0.2680,-0.4370
2.3648,0,0.5574,3.8390,0.2430,-0.4580
2.3822,0,0.5799,3.1820,0.2180,-0.4760
2.4119,0,0.5949,1.0682,0.1900,-0.4900
2.4166,0,0.6024,1.0343,0.1750,-0.4970
2.4287,0,0.6100,1.0300,0.1650,-0.5010
2.4421,0,0.6100,0.8064,0.1570,-0.5040
2.4535,0,0.6025,0.4175,0.1520,-0.5070
2.4613,0,0.5950,0.1220,0.1460,-0.5080
2.4897,0,0.5950,-0.2015,0.1360,-0.5060
2.5071,0,0.5950,-0.3250,0.1300,-0.5010
2.5290,0,0.5875,-0.3936,0.1220,-0.5000
2.5409,0,0.5799,-0.3895,0.1120,-0.4960
2.5583,0,0.5799,-0.1954,0.0960,-0.4940
2.5654,0,0.5799,-0.1954,0.0850,-0.4860
2.5766,0,0.5799,-0.1954,0.0810,-0.4760
2.5946,0,0.5799,-0.1268,0.0800,-0.4670
2.5986,0,0.5875,0.3765,0.0810,-0.4590
2.6090,0,0.5875,0.3765,0.0820,-0.4500
2.6438,0,0.5724,0.2898,0.0950,-0.4260
2.6783,0,0.5574,0.2027,0.0840,-0.3990
2.7024,0,0.5423,0.0781,0.0790,-0.3650
2.7304,0,0.5122,-0.5137,0.0800,-0.3450
2.7475,0,0.4896,-0.7779,0.0780,-0.3320
2.7734,0,0.4745,-0.8077,0.0660,-0.3200
2.7983,0,0.4670,-0.7812,0.0510,-0.3060
2.8426,0,0.4594,-0.6906,0.0260,-0.2710
2.8500,0,0.4367,-1.0957,0.0140,-0.2440
2.8792,0,0.4367,-0.8316,0.0060,-0.2190
2.8960,0,0.4291,-0.8053,0.0040,-0.2010
2.9193,0,0.4140,-0.8748,0.0040,-0.1920
2.9425,0,0.4064,-0.9059,-0.0020,-0.1770
2.9824,0,0.3913,-0.3616,-0.0010,-0.1490
2.9994,0,0.3913,-0.3616,0.0070,-0.1320
3.0229,0,0.3837,-0.3362,0.0140,-0.1100
3.0536,0,0.3761,-0.2554,0.0250,-0.0850
3.0693,0,0.3761,-0.1902,0.0320,-0.0700
3.0914,0,0.3685,-0.1827,0.0270,-0.0610
3.1240,0,0.3685,-0.1827,0.0150,-0.0430
3.1388,0,0.3685,-0.1181,0.0120,-0.0340
3.1623,0,0.3609,-0.1333,0.0050,-0.0290
3.1959,0,0.3533,-0.1786,-0.0070,-0.0110
3.2086,0,0.3457,-0.2296,-0.0120,0.0190
3.2312,0,0.3381,-0.2969,-0.0100,0.0500
3.2552,0,0.3305,-0.3603,-0.0030,0.0820
3.2919,0,0.3228,-0.3372,0.0030,0.1040
3.2976,0,0.3228,-0.2919,0.0270,0.1100
3.3211,0,0.3228,-0.1722,0.0860,0.1310
3.3432,0,0.3152,-0.1742,0.1360,0.1190
3.3687,0,0.3152,-0.1108,0.1800,0.0920
3.3923,0,0.3152,-0.0693,0.2030,0.0780
3.4666,0,0.3152,-0.0693,1.3690,-0.5790
3.5361,0,0.3076,-0.0912,0.2520,0.2340
3.5497,0,0.3000,-0.1340,0.2270,0.2470
3.5775,0,0.2847,-0.2440,0.2350,0.2550
3.6080,0,0.2617,-0.3946,0.2770,0.2470
3.6770,0,0.2464,-0.4389,-0.1820,1.2130
3.7458,0,0.2540,-0.3948,0.3330,0.2370
3.7564,0,0.3220,1.0076,0.2980,0.2540
3.7860,0,0.4418,1.9249,0.2710,0.2580
3.8211,0,0.5695,2.8038,0.2440,0.2830
3.8385,0,0.6378,3.6346,0.2380,0.2960
