Time,Reps,Angle,Velocity,X,Y
2.1257,0,0.4173,0.0000,2.8500,-4.4890
2.1677,0,0.4173,0.0000,3.1270,-4.8240
2.1745,0,0.4173,0.0000,3.3960,-5.3500
2.2068,0,0.4173,0.0000,3.5170,-5.6260
2.2187,0,0.4173,0.0000,3.3110,-5.3600
2.2924,0,0.4173,0.0000,3.1740,-5.1500
2.3663,0,0.4173,0.0000,0.0000,0.0000
2.4120,0,0.4173,0.0000,1.7070,-3.0720
2.4435,0,0.4173,0.0000,1.6780,-3.0690
2.4563,0,0.4173,0.0000,1.6780,-3.0530
2.4789,0,0.4173,0.0000,1.6990,-3.0450
2.5152,0,0.4173,0.0000,1.7960,-3.2130
2.5520,0,0.4173,0.0000,1.7460,-3.1880
2.5843,0,0.4173,0.0000,1.5880,-2.9110
2.5957,0,0.4173,0.0000,1.4870,-2.7130
2.6230,0,0.4173,0.0000,1.3660,-2.5380
2.6940,0,0.4173,0.0000,1.3510,-2.4610
2.7017,0,0.4173,0.0000,1.2480,-2.2100
2.7297,0,0.4173,0.0000,1.2230,-2.0990
2.7480,0,0.4173,0.0000,1.2000,-2.0620
2.8224,0,0.4173,0.0000,1.1810,-2.1080
2.8456,0,0.4173,0.0000,1.2260,-2.2500
2.8678,0,0.4173,0.0000,1.2700,-2.3530
2.8780,0,0.4173,0.0000,1.3340,-2.5020
2.8973,0,0.4173,0.0000,1.3990,-2.5870
2.9010,0,0.4173,0.0000,1.4750,-2.6860
2.9156,0,0.4173,0.0000,1.5420,-2.7850
2.9294,0,0.4173,0.0000,1.5980,-2.8810
2.9369,0,0.4173,0.0000,1.6510,-2.9890
2.9497,0,0.4173,0.0000,1.7080,-3.1300
2.9862,0,0.4173,0.0000,1.9640,-3.5060
3.0188,0,0.4173,0.0000,2.9160,-5.2720
3.0899,0,0.4173,0.0000,0.0000,0.0000
3.1275,0,0.4173,0.0000,0.0000,0.0000
3.1367,0,0.4173,0.0000,0.0000,0.0000
3.2090,0,0.4173,0.0000,5.2420,-9.7830
3.2413,0,0.4173,0.0000,5.6540,-11.0660
3.2543,0,0.4173,0.0000,7.4860,-14.7120
3.3692,0,0.4173,0.0000,0.0000,0.0000
3.3961,0,0.4173,0.0000,0.0000,0.0000
3.4192,0,0.4173,0.0000,0.0000,0.0000
3.4890,0,0.4173,0.0000,0.0000,0.0000
3.5117,0,0.4173,0.0000,0.0000,0.0000
3.5420,0,0.4173,0.0000,0.0000,0.0000
3.6192,0,0.4173,0.0000,0.0000,0.0000
3.6307,0,0.4173,0.0000,0.0000,0.0000
3.7006,0,0.4173,0.0000,0.0000,0.0000
3.7809,0,0.4173,0.0000,0.0000,0.0000
3.7924,0,0.4173,0.0000,0.0000,0.0000
3.8209,0,0.4173,0.0000,0.0000,0.0000
3.8415,0,0.4173,0.0000,0.0000,0.0000
3.8615,0,0.4173,0.0000,0.0000,0.0000
3.8937,0,0.4173,0.0000,0.0000,0.0000
3.9104,0,0.4173,0.0000,0.0000,0.0000
3.9428,0,0.4173,0.0000,0.0000,0.0000
3.9461,0,0.4173,0.0000,0.0000,0.0000
3.9871,0,0.4173,0.0000,0.0000,0.0000
3.9910,0,0.4173,0.0000,0.0000,0.0000
4.0113,0,0.4173,0.0000,0.0000,0.0000
4.0321,0,0.4173,0.0000,0.0000,0.0000
4.0668,0,0.4173,0.0000,0.0000,0.0000
4.1326,0,0.4173,0.0000,0.0000,0.0000
4.1486,0,0.4173,0.0000,0.0000,0.0000
4.1729,0,0.4173,0.0000,0.0000,0.0000
4.1822,0,0.4173,0.0000,0.0000,0.0000
4.1931,0,0.4173,0.0000,0.0000,0.0000
4.2218,0,0.4173,0.0000,0.0000,0.0000
4.2247,0,0.4173,0.0000,0.0000,0.0000
4.2296,0,0.4173,0.0000,0.0000,0.0000
4.2401,0,0.4173,0.0000,0.0000,0.0000
