Time,Angle,X,Y
5.0297,22.4708,0.0000,0.0000
5.0359,22.4708,6.7220,-0.5560
5.0389,22.4708,0.0000,0.0000
5.1990,22.4708,0.0000,0.0000
5.2037,22.4708,0.0000,0.0000
5.2058,22.4708,0.0000,0.0000
5.2076,22.4708,-1.6620,-0.3120
5.3323,22.4708,0.0000,0.0000
5.3356,22.4708,0.0000,0.0000
5.3621,22.4708,-4.5220,0.1640
5.4612,22.4708,0.0000,0.0000
5.4656,22.4708,0.0000,0.0000
5.4676,22.4708,0.0000,0.0000
5.4695,22.4708,0.0000,0.0000
5.4730,22.4708,0.0000,0.0000
5.4761,22.4708,0.0000,0.0000
5.4779,22.4708,0.0000,0.0000
5.4797,22.4708,1.4390,0.2360
5.5971,22.4708,0.0000,0.0000
5.5989,22.4708,0.0000,0.0000
5.6038,22.4708,0.0000,0.0000
5.6785,22.4708,2.2840,-0.4570
5.7490,22.4708,0.0000,0.0000
5.7531,22.4708,0.0000,0.0000
5.7564,22.4708,0.0000,0.0000
5.7583,22.4708,-0.0550,-2.8000
5.7601,22.4708,2.1760,-2.5290
5.7636,22.4708,0.0000,0.0000
5.7666,22.4708,0.0000,0.0000
5.8748,22.4708,-2.4130,2.4930
5.8787,22.4708,0.0000,0.0000
5.8832,22.4708,0.0000,0.0000
5.8869,22.4708,0.0000,0.0000
5.8886,22.4708,0.0000,0.0000
6.0132,22.4708,0.0000,0.0000
6.0180,22.4708,11.0000,10.3330
6.0211,22.4708,-3.6150,4.3850
6.0254,22.4708,0.0000,0.0000
6.0279,22.4708,0.0000,0.0000
6.0296,22.4708,0.0000,0.0000
6.0856,22.4708,0.0000,0.0000
6.1497,22.4708,0.0000,0.0000
6.1524,22.4708,5.2320,-3.0710
6.1570,22.4708,0.3210,-1.3590
6.1590,22.4708,0.7360,-0.2180
6.2227,22.4708,-3.2420,9.9700
6.2860,22.4708,3.7940,1.7940
6.2905,22.4708,-0.8380,0.0270
6.2931,22.4708,2.8350,0.6200
6.2960,22.4708,-0.4080,0.1320
6.2987,22.4708,-1.7170,-1.5470
6.4344,22.4708,0.0000,0.0000
6.4387,22.4708,0.0330,-3.5000
6.4406,22.4708,0.0000,0.0000
6.4424,22.4708,0.0000,0.0000
6.4433,22.4708,0.0000,0.0000
6.4453,22.4708,0.7330,3.3330
6.4523,22.4708,0.0000,0.0000
6.5099,22.4708,-1.0000,-4.3130
6.5721,22.4708,0.0000,0.0000
6.5763,22.4708,0.0000,0.0000
6.5908,22.4708,0.0000,0.0000
6.6426,22.4708,0.0000,0.0000
6.6708,22.4708,0.0000,0.0000
6.6823,22.4708,0.0000,0.0000
6.6943,22.4708,0.0000,0.0000
6.7309,22.4708,0.0000,0.0000
6.7405,22.4708,0.0000,0.0000
6.8639,22.4708,0.0000,0.0000
6.8694,22.4708,0.0000,0.0000
6.8720,22.4708,0.0000,0.0000
6.8745,22.4708,0.0000,0.0000
6.8782,22.4708,0.8360,-0.4740
6.8805,22.4708,-0.1490,0.8980
6.8823,22.4708,0.0000,0.0000
6.8842,22.4708,0.0000,0.0000
6.9011,22.4708,0.0000,0.0000
6.9102,22.4708,0.0000,0.0000
6.9437,22.4708,-0.1390,0.8770
7.0092,22.4708,0.0000,0.0000
7.0120,22.4708,1.0000,-0.9330
7.0139,22.4708,0.8090,-0.2100
7.0177,22.4708,0.6720,-1.0410
7.0206,22.4708,-0.0250,-0.5480
7.0223,22.4708,0.0000,0.0000
