Time,Reps,Angle,Velocity,X,Y,Set
0.5405,0,0.0000,0.0000,0.0000,0.0000,1
0.5445,0,0.0000,0.0000,-0.2160,-0.4940,1
0.5529,0,0.0000,0.0000,-0.2340,1.9570,1
0.5759,0,0.0000,0.0000,8.8330,14.7500,1
0.6086,0,0.0000,0.0000,-0.2750,-0.7250,1
0.6220,0,0.0000,0.0000,0.0000,0.0000,1
0.6473,0,0.0000,0.0000,0.0000,0.0000,1
0.6806,0,0.0000,0.0000,0.0000,0.0000,1
0.6854,0,0.0000,0.0000,0.0000,0.0000,1
0.6897,0,0.0000,0.0000,0.0000,0.0000,1
0.7194,0,0.0000,0.0000,0.0000,0.0000,1
0.7964,0,0.0000,0.0000,0.0000,0.0000,1
0.8064,0,0.0000,0.0000,6.8180,1.6820,1
0.8379,0,0.0000,0.0000,0.0000,0.0000,1
0.8409,0,0.0000,0.0000,5.8870,-1.0750,1
0.8751,0,0.0000,0.0000,0.0000,0.0000,1
0.9125,0,0.0000,0.0000,0.0000,0.0000,1
0.9470,0,0.0000,0.0000,0.0000,0.0000,1
0.9862,0,0.0000,0.0000,0.0000,0.0000,1
1.0013,0,0.0000,0.0000,-0.6260,-0.5820,1
1.0256,0,0.0000,0.0000,8.8180,13.9090,1
1.0575,0,0.0000,0.0000,0.0000,0.0000,1
1.0950,0,0.0000,0.0000,0.7750,-0.2960,1
1.1261,0,0.0000,0.0000,4.5610,-5.6100,1
1.1603,0,0.0000,0.0000,0.0000,0.0000,1
1.1740,0,0.0000,0.0000,0.0000,0.0000,1
1.2164,0,0.0000,0.0000,0.0000,0.0000,1
1.2463,0,0.0000,0.0000,1.5200,-0.7070,1
1.2697,0,0.0000,0.0000,0.0000,-0.6470,1
1.2984,0,0.0000,0.0000,2.3730,-5.3140,1
1.3181,0,0.0000,0.0000,2.9240,-1.7810,1
1.3245,0,0.0000,0.0000,8.1110,-0.4070,1
1.3351,0,0.0000,0.0000,-0.1830,0.1550,1
1.3585,0,0.0000,0.0000,0.3400,0.0150,1
1.3853,0,0.0000,0.0000,2.5260,-0.2240,1
1.4038,0,0.0000,0.0000,0.4130,-1.3640,1
1.4340,0,0.0000,0.0000,0.0000,0.0000,1
1.4379,0,0.0000,0.0000,0.0000,0.0000,1
1.4478,0,0.0000,0.0000,6.8670,1.8000,1
1.4723,0,0.0000,0.0000,0.0000,0.0000,1
1.4768,0,0.0000,0.0000,0.0000,0.0000,1
1.4841,0,0.0000,0.0000,0.0000,0.0000,1
1.5110,0,0.0000,0.0000,0.0000,0.0000,1
1.5190,0,0.0000,0.0000,3.0410,0.4760,1
1.5604,0,0.0000,0.0000,4.1480,-1.0000,1
1.6105,0,0.0000,0.0000,0.0000,0.0000,1
1.6793,0,0.0000,0.0000,4.5160,-1.2200,1
1.7096,0,0.0000,0.0000,2.1670,-1.5240,1
1.7265,0,0.0000,0.0000,0.0000,0.0000,1
1.7393,0,0.0000,0.0000,7.2960,-5.1730,1
1.7522,0,0.0000,0.0000,0.0000,0.0000,1
1.7587,0,0.0000,0.0000,19.3330,-9.0000,1
1.7696,0,0.0000,0.0000,0.0000,0.0000,1
1.7913,0,0.0000,0.0000,0.0000,0.0000,1
1.7963,0,0.0000,0.0000,6.2700,-7.0810,1
1.8070,0,0.0000,0.0000,18.3550,-7.6450,1
1.8391,0,0.0000,0.0000,10.4580,-4.6270,1
1.8872,0,0.0000,0.0000,4.2900,2.0650,1
1.9105,0,0.0000,0.0000,0.9670,-0.7600,1
1.9448,0,0.0000,0.0000,0.3690,-0.8870,1
1.9561,0,0.0000,0.0000,2.5190,-2.1580,1
1.9845,0,0.0000,0.0000,6.2590,-2.6380,1
2.0196,0,0.0000,0.0000,1.7020,-1.0370,1
2.0948,0,0.0000,0.0000,-0.9830,-0.9990,1
2.1652,0,0.0000,0.0000,3.4860,0.4690,1
2.2036,0,0.0000,0.0000,3.6750,-4.2070,1
2.2277,0,0.0000,0.0000,4.2000,-0.9410,1
2.2564,0,0.0000,0.0000,0.5100,-0.4390,1
2.2942,0,0.0000,0.0000,0.2270,-0.4670,1
2.2989,0,0.0000,0.0000,1.1080,-0.2860,1
2.3214,0,0.0000,0.0000,0.4380,-0.8040,1
2.3599,0,0.0000,0.0000,0.5080,-0.8460,1
2.3795,0,0.0000,0.0000,-0.3500,0.2500,1
2.4127,0,0.0000,0.0000,-1.4090,-0.6180,1
2.4227,0,0.0000,0.0000,-0.3730,-0.9940,1
2.4654,0,0.0000,0.0000,0.1120,-0.1120,1
2.4706,0,0.0000,0.0000,-1.5110,1.3690,1
2.5176,0,0.0000,0.0000,0.0000,0.0000,1
2.5296,0,0.0000,0.0000,0.0000,0.0000,1
2.5602,0,0.0000,0.0000,-1.3190,-2.1330,1
2.5636,0,0.0000,0.0000,-3.3100,-3.7890,1
2.5673,0,0.0000,0.0000,-2.1230,-0.8250,1
2.5730,0,0.0000,0.0000,0.0000,0.0000,1
2.6129,0,0.0000,0.0000,0.0000,0.0000,1
2.6166,0,0.0000,0.0000,0.0000,0.0000,1
2.6206,0,0.0000,0.0000,0.0000,0.3530,1
2.6243,0,0.0000,0.0000,-0.7120,-0.4710,1
2.6315,0,0.0000,0.0000,-3.1320,-0.1510,1
2.6642,0,0.0000,0.0000,-0.1600,-0.8340,1
2.7005,0,0.0000,0.0000,-0.4260,-0.7810,1
2.7110,0,0.0000,0.0000,-0.4820,0.0020,1
2.7341,0,0.0000,0.0000,-0.7460,0.4710,1
2.7455,0,0.0000,0.0000,-0.5130,-0.4740,1
2.8116,0,0.0000,0.0000,0.0000,0.0000,1
2.8608,0,0.0000,0.0000,-0.3750,-1.0130,1
2.8953,0,0.0000,0.0000,-0.8040,-0.1740,1
2.9299,0,0.0000,0.0000,-2.1270,-0.5420,1
2.9412,0,0.0000,0.0000,-0.8110,0.2030,1
2.9676,0,0.0000,0.0000,-0.4440,-0.1180,1
2.9889,0,0.0000,0.0000,-0.2600,-0.7990,1
3.0146,0,0.0000,0.0000,-3.1210,-0.8600,1
3.0332,0,0.0000,0.0000,-1.2690,-0.9670,1
3.0599,0,0.0000,0.0000,-1.0160,-0.4690,1
3.0965,0,0.0000,0.0000,-0.4280,-0.2820,1
3.1018,0,0.0000,0.0000,-0.2380,-0.2550,1
3.1758,0,0.0000,0.0000,-0.1790,-0.1060,1
3.1819,0,0.0000,0.0000,-0.1400,-0.0760,1
3.2178,0,0.0000,0.0000,-0.1390,-0.0640,1
3.2291,0,0.0000,0.0000,-0.1380,-0.0480,1
3.2601,0,0.0000,0.0000,-0.1420,-0.0330,1
3.2733,0,0.0000,0.0000,-0.1430,-0.0230,1
3.3021,0,0.0000,0.0000,-0.1340,-0.0100,1
3.3255,0,0.0000,0.0000,-0.1340,-0.0050,1
3.3446,0,0.0000,0.0000,-0.1370,0.0000,1
3.3815,0,0.0000,0.0000,-0.1430,-0.0010,1
3.3922,0,0.0000,0.0000,-0.1480,-0.0080,1
3.4181,0,0.0000,0.0000,-0.1500,-0.0170,1
3.4328,0,0.0000,0.0000,-0.1500,-0.0280,1
3.4602,0,0.0000,0.0000,-0.1430,-0.0410,1
3.4978,0,0.0000,0.0000,-0.1450,-0.0600,1
3.5034,0,0.0000,0.0000,-0.1490,-0.0870,1
3.5373,0,0.0000,0.0000,-0.1520,-0.1180,1
3.5513,0,0.0000,0.0000,-0.1570,-0.1420,1
3.5793,0,0.0000,0.0000,-0.1660,-0.1570,1
3.6062,0,0.0000,0.0000,-0.1730,-0.1680,1
3.6219,0,0.0000,0.0000,-0.1770,-0.1780,1
3.6512,0,0.0000,0.0000,-0.1880,-0.1920,1
3.6643,0,0.0000,0.0000,-0.2020,-0.2030,1
3.6935,0,0.0000,0.0000,-0.2210,-0.2090,1
3.7230,0,0.0000,0.0000,-0.2410,-0.2050,1
3.7688,0,0.0000,0.0000,-0.2540,-0.1970,1
3.8306,0,0.0000,0.0000,-0.4270,-0.3570,1
3.8944,0,0.0000,0.0000,-0.2510,-0.2300,1
3.9316,0,0.0000,0.0000,-0.2480,-0.2330,1
3.9671,0,0.0000,0.0000,-0.2510,-0.2370,1
