Time,Angle,X,Y
3.2257,0.0000,0.0000,0.0000
3.2552,0.0000,-0.1840,1.4320
3.2572,0.0000,-1.9000,-1.6000
3.2598,0.0000,-1.7140,-0.8040
3.2634,0.0000,-1.8040,0.0930
3.2655,0.0000,-2.0770,-0.2310
3.2673,0.0000,0.0000,0.0000
3.2696,0.0000,0.0000,0.0000
3.2733,0.0000,0.0000,0.0000
3.2759,0.0000,0.0000,0.0000
3.2777,0.0000,5.0000,16.4000
3.3462,0.0000,0.0000,0.0000
3.4089,0.0000,0.0000,0.0000
3.4134,0.0000,0.0000,0.0000
3.4160,0.0000,0.0000,0.0000
3.4226,0.0000,0.0000,0.0000
3.4769,0.0000,0.0000,0.0000
3.4791,0.0000,0.0000,0.0000
3.5419,0.0000,0.0000,0.0000
3.5454,0.0000,0.0000,0.0000
3.5473,0.0000,-1.0220,0.5480
3.5641,0.0000,0.0000,0.0000
3.6938,0.0000,0.0000,0.0000
3.6969,0.0000,0.0000,0.0000
3.7082,0.0000,0.0000,0.0000
3.7591,0.0000,0.0000,0.0000
3.8201,0.0000,0.0000,0.0000
3.8247,0.0000,0.0000,0.0000
3.8265,0.0000,0.0000,0.0000
3.8296,0.0000,0.0000,0.0000
3.8314,0.0000,0.0000,0.0000
3.8360,0.0000,0.0000,0.0000
3.8938,0.0000,0.1610,3.0320
3.9532,0.0000,0.0000,0.0000
3.9576,0.0000,0.0000,0.0000
3.9599,0.0000,0.0000,0.0000
3.9635,0.0000,0.0000,0.0000
4.0233,0.0000,0.0000,0.0000
4.0860,0.0000,0.0000,0.0000
4.0887,0.0000,0.0000,0.0000
4.0919,0.0000,0.0000,0.0000
4.0997,0.0000,-0.9150,-1.2820
4.1555,0.0000,0.0000,0.0000
4.2173,0.0000,0.0000,0.0000
4.2219,0.0000,0.0000,0.0000
4.2256,0.0000,0.0000,0.0000
4.2431,0.0000,-0.6150,0.1360
4.2875,0.0000,0.0000,0.0000
4.3468,0.0000,0.0000,0.0000
4.3518,0.0000,0.0000,0.0000
4.3559,0.0000,0.0000,0.0000
4.3583,0.0000,0.0000,0.0000
4.3602,0.0000,0.0000,0.0000
4.3633,0.0000,0.0000,0.0000
4.3669,0.0000,0.0000,0.0000
4.3740,0.0000,4.3180,-3.9550
4.4193,0.0000,2.8890,-3.1110
4.4801,0.0000,0.0000,0.0000
4.4827,0.0000,0.0000,0.0000
4.4898,0.0000,0.0000,0.0000
4.5490,0.0000,0.0000,0.0000
4.6309,0.0000,0.0000,0.0000
4.7869,0.0000,0.0000,0.0000
4.7910,0.0000,0.0000,0.0000
4.7955,0.0000,0.0000,0.0000
4.7986,0.0000,0.0000,0.0000
4.8005,0.0000,0.0000,0.0000
4.8031,0.0000,-1.9520,-0.1430
4.8603,0.0000,-1.7550,-0.3020
4.9238,0.0000,0.0000,0.0000
4.9291,0.0000,0.0000,0.0000
4.9310,0.0000,0.0000,0.0000
4.9944,0.0000,0.0000,0.0000
5.0547,0.0000,0.0000,0.0000
5.0587,0.0000,-0.6090,4.3480
5.0610,0.0000,0.0000,0.0000
5.0643,0.0000,0.0000,0.0000
5.1291,0.0000,0.0000,0.0000
5.1315,0.0000,0.0000,0.0000
5.1345,0.0000,0.0000,0.0000
5.1999,0.0000,0.0000,0.0000
5.2022,0.0000,0.0000,0.0000
5.2158,0.0000,0.0000,0.0000
5.2716,0.0000,0.0000,0.0000
5.2750,0.0000,0.0000,0.0000
5.3393,0.0000,0.0000,0.0000
5.3416,0.0000,0.0000,0.0000
5.3451,0.0000,0.0000,0.0000
5.3488,0.0000,0.0000,0.0000
5.3517,0.0000,0.0000,0.0000
5.4112,0.0000,-0.0940,-1.5310
5.4138,0.0000,0.0000,0.0000
5.4798,0.0000,0.0000,0.0000
5.4823,0.0000,0.0000,0.0000
5.4844,0.0000,0.0000,0.0000
5.4862,0.0000,0.0000,0.0000
5.4893,0.0000,0.0000,0.0000
5.4910,0.0000,0.3250,0.4750
5.4928,0.0000,-1.4460,0.7930
5.5524,0.0000,0.1580,0.7890
5.6168,0.0000,0.0000,0.0000
5.6203,0.0000,0.0000,0.0000
5.6223,0.0000,0.0000,0.0000
5.6251,0.0000,0.0000,0.0000
5.7692,0.0000,0.0000,0.0000
5.7733,0.0000,0.0000,0.0000
5.7775,0.0000,-1.7230,0.3250
5.7807,0.0000,0.0000,0.0000
5.7825,0.0000,0.0000,0.0000
5.7842,0.0000,0.0000,0.0000
5.7860,0.0000,0.0000,0.0000
5.9080,0.0000,0.0000,0.0000
5.9131,0.0000,0.0000,0.0000
5.9174,0.0000,0.0000,0.0000
5.9207,0.0000,0.0000,0.0000
5.9226,0.0000,0.0000,0.0000
5.9247,0.0000,0.0000,0.0000
5.9404,0.0000,0.4230,-0.0310
5.9510,0.0000,0.0000,0.0000
6.0231,0.0000,0.0000,0.0000
6.0842,0.0000,0.0000,0.0000
6.0876,0.0000,0.0000,0.0000
6.0910,0.0000,0.0000,0.0000
6.0929,0.0000,0.0000,0.0000
6.0949,0.0000,0.8530,1.2320
6.1007,0.0000,0.6980,0.9570
6.2275,0.0000,-1.7380,-0.6030
6.2333,0.0000,0.0000,0.0000
6.2368,0.0000,0.0000,0.0000
6.2420,0.0000,0.0000,0.0000
6.2622,0.0000,0.0000,0.0000
6.2830,0.0000,0.0000,0.0000
6.3194,0.0000,0.0000,0.0000
