Time,Angle,X,Y
3.6363,0.0000,-1.0000,-1.0000
3.6410,0.0000,-1.0000,-1.0000
3.6431,0.0000,-1.0000,-1.0000
3.6450,0.0000,-1.0000,-1.0000
3.6485,0.0000,-1.0000,-1.0000
3.6516,0.0000,-1.0000,-0.9990
3.6534,0.0000,-1.0000,-1.0000
3.6551,0.0000,-1.0000,-1.0000
3.7045,0.0000,-0.9990,-1.0000
3.7678,0.0000,-1.0000,-1.0000
3.7723,0.0000,-1.0000,-1.0000
3.7743,0.0000,-0.9990,-1.0000
3.7763,0.0000,-1.0000,-1.0000
3.7853,0.0000,-1.0000,-1.0000
3.8354,0.0000,-1.0000,-1.0000
3.8990,0.0000,-0.9990,-1.0000
3.9037,0.0000,-0.9990,-1.0000
3.9065,0.0000,-1.0000,-1.0000
3.9125,0.0000,-0.9990,-1.0000
3.9687,0.0000,-1.0000,-1.0000
4.0320,0.0000,-0.9990,-1.0000
4.0343,0.0000,-1.0000,-1.0000
4.0376,0.0000,-1.0000,-0.9990
4.0414,0.0000,-1.0000,-1.0000
4.1113,0.0000,-1.0000,-1.0000
4.1137,0.0000,-1.0000,-1.0000
4.1744,0.0000,-1.0000,-1.0000
4.1779,0.0000,-1.0000,-0.9990
4.1805,0.0000,-1.0000,-0.9990
4.1832,0.0000,-1.0000,-1.0000
4.2442,0.0000,-1.0000,-1.0000
4.2480,0.0000,-1.0000,-1.0000
4.3355,0.0000,-1.0000,-1.0000
4.3406,0.0000,-1.0010,-1.0000
4.3436,0.0000,-1.0000,-1.0000
4.3455,0.0000,-0.9990,-1.0000
4.3478,0.0000,-1.0000,-1.0000
4.3514,0.0000,-1.0000,-1.0000
4.3537,0.0000,-1.0000,-1.0000
4.3554,0.0000,-0.9990,-1.0000
4.4036,0.0000,-1.0000,-1.0000
4.4057,0.0000,-0.9990,-1.0000
4.4736,0.0000,-1.0000,-1.0000
4.4757,0.0000,-0.9990,-0.9990
4.4777,0.0000,-1.0000,-0.9990
4.4859,0.0000,-0.9990,-1.0000
4.5432,0.0000,-1.0000,-1.0000
4.6173,0.0000,-1.0000,-1.0000
4.6234,0.0000,-1.0000,-1.0000
4.6255,0.0000,-1.0000,-1.0000
4.6273,0.0000,-1.0000,-1.0000
4.6290,0.0000,-1.0000,-0.9990
4.6853,0.0000,-1.0000,-1.0000
4.6873,0.0000,-1.0000,-1.0000
4.7529,0.0000,-1.0000,-1.0000
4.7551,0.0000,-1.0000,-1.0000
4.8156,0.0000,-1.1210,-1.1210
4.8840,0.0000,-1.1060,-1.1060
4.8864,0.0000,-1.1060,-1.1070
4.8891,0.0000,-1.1250,-1.1250
4.9062,0.0000,-1.1250,-1.1250
4.9466,0.0000,-1.1210,-1.1210
5.0101,0.0000,-1.1160,-1.1160
5.0144,0.0000,-1.1150,-1.1150
5.0167,0.0000,-1.1230,-1.1230
5.0258,0.0000,-1.0000,-0.9990
